Processes,Computation,IO,Communication
1,0.36836,0.69483,0.032867,
2,0.272366,0.255043,7.55e-05,
3,1.48476,3.30204,0.0026405,
4,0.35299,1.57706,0.00177762,
5,0.312131,0.0225751,0.002481,
